Bytes Rate: 1570318080.00/513316.81	Packets Rate: 175393.08/7777.46
Bytes Rate: 1580536064.00/518884.19	Packets Rate: 176534.52/7861.87
Bytes Rate: 1582974208.00/521495.94	Packets Rate: 176807.25/7901.72
Bytes Rate: 1584765440.00/521275.50	Packets Rate: 177007.31/7898.18
Bytes Rate: 1584715776.00/520675.88	Packets Rate: 177001.08/7889.04
Bytes Rate: 1585314560.00/518991.09	Packets Rate: 177068.39/7863.51
Bytes Rate: 1585543936.00/520550.69	Packets Rate: 177093.72/7887.13
Bytes Rate: 1585317376.00/520989.69	Packets Rate: 177068.44/7893.78
Bytes Rate: 1584803968.00/519515.06	Packets Rate: 177010.98/7871.44
Bytes Rate: 1585541760.00/519345.19	Packets Rate: 177093.62/7868.87
