Bytes Rate: 0.00/0.00	Packets Rate: 0.00/0.00
Bytes Rate: 444193920.00/48963.26	Packets Rate: 295786.44/569.97
Bytes Rate: 480798304.00/166485.50	Packets Rate: 320121.62/2033.24
Bytes Rate: 536029792.00/249302.94	Packets Rate: 356881.41/3099.56
Bytes Rate: 548940352.00/263057.84	Packets Rate: 365474.66/3280.65
Bytes Rate: 552992704.00/265708.06	Packets Rate: 368171.34/3313.91
Bytes Rate: 552814848.00/265105.00	Packets Rate: 368052.59/3300.48
Bytes Rate: 553634816.00/264880.97	Packets Rate: 368598.44/3291.12
Bytes Rate: 554604992.00/264616.06	Packets Rate: 369244.38/3297.78
Bytes Rate: 550116672.00/262626.25	Packets Rate: 366256.09/3276.19
