Bytes Rate: 1590023040.00/213893.17	Packets Rate: 177261.38/3240.81
Bytes Rate: 1586167552.00/221723.45	Packets Rate: 176886.58/3359.45
Bytes Rate: 1587642112.00/215662.69	Packets Rate: 176956.16/3267.62
Bytes Rate: 1588179456.00/216374.52	Packets Rate: 177040.66/3278.40
Bytes Rate: 1588472960.00/222245.30	Packets Rate: 177100.28/3367.35
Bytes Rate: 1586932736.00/222029.67	Packets Rate: 176903.44/3364.09
Bytes Rate: 1588924928.00/215442.25	Packets Rate: 177129.88/3264.28
Bytes Rate: 1593051008.00/212755.09	Packets Rate: 177540.56/3223.56
Bytes Rate: 1592302848.00/210648.28	Packets Rate: 177510.89/3191.64
Bytes Rate: 1588458752.00/215418.41	Packets Rate: 177185.73/3263.92
