Bytes Rate: 160292480.00/679417.06	Packets Rate: 125363.55/8580.92
Bytes Rate: 176618960.00/754513.62	Packets Rate: 137943.75/9536.49
Bytes Rate: 179300768.00/759727.88	Packets Rate: 140134.69/9599.12
Bytes Rate: 175764896.00/748121.00	Packets Rate: 137395.17/9455.03
Bytes Rate: 167382432.00/736425.50	Packets Rate: 130643.55/9312.51
Bytes Rate: 164047168.00/746066.38	Packets Rate: 127826.14/9432.13
Bytes Rate: 165932640.00/820504.38	Packets Rate: 128584.28/10215.03
Bytes Rate: 161812944.00/773735.62	Packets Rate: 125581.07/9591.01
Bytes Rate: 162096496.00/794761.38	Packets Rate: 125619.27/9847.50
