Bytes Rate: 1354670080.00/243525.39	Packets Rate: 895947.25/3689.78
Bytes Rate: 1355389184.00/246506.34	Packets Rate: 896424.81/3734.94
Bytes Rate: 1354883840.00/244826.28	Packets Rate: 896085.12/3709.49
Bytes Rate: 1355108096.00/242457.56	Packets Rate: 896234.25/3673.87
Bytes Rate: 1355208448.00/246734.39	Packets Rate: 896302.31/3738.47
Bytes Rate: 1355206528.00/243744.42	Packets Rate: 896301.44/3693.11
Bytes Rate: 1355195008.00/244333.80	Packets Rate: 896296.56/3702.03
Bytes Rate: 1354646400.00/246114.28	Packets Rate: 895933.25/3729.01
Bytes Rate: 1353973376.00/246460.56	Packets Rate: 895486.06/3734.25
Bytes Rate: 1354605568.00/246052.33	Packets Rate: 895904.44/3728.07
