Bytes Rate: 0.00/0.00	Packets Rate: 0.00/0.00
Bytes Rate: 1264555.12/854535360.00	Packets Rate: 19159.93/566768.25
Bytes Rate: 1267924.75/854413632.00	Packets Rate: 19210.98/566690.06
Bytes Rate: 1246096.25/856413952.00	Packets Rate: 18880.25/567962.75
Bytes Rate: 1268648.38/853985536.00	Packets Rate: 19221.95/566418.31
Bytes Rate: 1237055.88/857427648.00	Packets Rate: 18742.86/568659.19
Bytes Rate: 1250901.50/862456512.00	Packets Rate: 18952.95/571983.38
Bytes Rate: 1261294.75/864469824.00	Packets Rate: 19110.50/573321.50
Bytes Rate: 1259040.25/866467776.00	Packets Rate: 19076.36/574618.19
Bytes Rate: 1247390.50/867848192.00	Packets Rate: 18899.86/575559.00
